Monthly_Uncertainity,Monthly_Temperature,Date
1.051,6.7040000000000015,1850-01-01
1.181,8.408000000000001,1850-02-01
1.102,8.112,1850-03-01
0.7090000000000001,7.332000000000002,1850-04-01
0.585,7.209,1850-05-01
0.713,8.082,1850-06-01
0.518,8.527000000000001,1850-07-01
0.619,8.549,1850-08-01
0.527,7.834,1850-09-01
0.841,7.3450000000000015,1850-10-01
0.999,7.151,1850-11-01
0.797,7.435,1850-12-01
0.928,8.46,1851-01-01
1.033,7.871,1851-02-01
0.955,7.312,1851-03-01
0.557,7.4460000000000015,1851-04-01
0.8740000000000001,8.209,1851-05-01
0.573,8.302,1851-06-01
0.531,8.642000000000001,1851-07-01
0.6,8.307,1851-08-01
0.6409999999999999,8.1,1851-09-01
0.929,8.38,1851-10-01
0.59,7.351,1851-11-01
1.221,8.066,1851-12-01
1.47,8.289,1852-01-01
1.014,7.834,1852-02-01
1.057,6.909000000000002,1852-03-01
0.901,7.631,1852-04-01
0.883,8.314,1852-05-01
0.518,8.043000000000001,1852-06-01
0.445,8.487,1852-07-01
0.441,7.755000000000001,1852-08-01
0.536,7.862,1852-09-01
0.596,8.184000000000001,1852-10-01
0.637,7.053000000000001,1852-11-01
0.7829999999999999,8.729000000000001,1852-12-01
1.239,7.836,1853-01-01
1.083,7.471,1853-02-01
0.77,7.267,1853-03-01
0.605,7.757999999999999,1853-04-01
0.58,8.133000000000001,1853-05-01
0.593,8.312000000000001,1853-06-01
0.51,8.762,1853-07-01
0.519,8.56,1853-08-01
0.464,8.02,1853-09-01
0.758,7.9,1853-10-01
0.831,7.207000000000002,1853-11-01
0.63,7.932,1853-12-01
1.03,7.275,1854-01-01
1.01,7.316000000000002,1854-02-01
0.86,7.968,1854-03-01
0.531,7.872000000000001,1854-04-01
0.611,8.205,1854-05-01
0.68,7.782,1854-06-01
0.464,8.721,1854-07-01
0.57,8.423,1854-08-01
0.5379999999999999,7.985,1854-09-01
0.6859999999999999,9.17,1854-10-01
0.645,8.219000000000001,1854-11-01
1.091,8.557,1854-12-01
1.461,8.781,1855-01-01
1.15,8.454,1855-02-01
0.884,7.936,1855-03-01
0.623,8.847000000000001,1855-04-01
0.8859999999999999,8.479000000000001,1855-05-01
0.445,8.084,1855-06-01
0.385,7.971,1855-07-01
0.448,8.132,1855-08-01
0.412,7.649000000000001,1855-09-01
0.604,7.85,1855-10-01
0.629,7.701,1855-11-01
1.028,6.962000000000001,1855-12-01
0.971,8.704,1856-01-01
1.376,7.577000000000001,1856-02-01
0.856,7.598000000000001,1856-03-01
0.605,8.049,1856-04-01
0.486,7.855,1856-05-01
0.851,8.579,1856-06-01
0.573,8.243,1856-07-01
0.6679999999999999,7.649000000000001,1856-08-01
0.546,7.317,1856-09-01
0.531,7.371,1856-10-01
0.652,7.769,1856-11-01
0.711,8.351,1856-12-01
1.172,7.801,1857-01-01
0.89,7.676,1857-02-01
0.74,7.577999999999999,1857-03-01
0.544,6.9780000000000015,1857-04-01
0.514,7.0489999999999995,1857-05-01
0.461,7.632999999999999,1857-06-01
0.435,8.077,1857-07-01
0.48,7.854,1857-08-01
0.464,7.499,1857-09-01
0.5539999999999999,7.505000000000001,1857-10-01
0.735,7.6720000000000015,1857-11-01
0.675,8.469000000000001,1857-12-01
1.061,8.591000000000001,1858-01-01
0.769,7.601,1858-02-01
0.742,8.059000000000001,1858-03-01
0.503,8.476,1858-04-01
0.53,8.055,1858-05-01
0.491,8.299,1858-06-01
0.569,7.959,1858-07-01
0.5489999999999999,7.915,1858-08-01
0.535,7.534000000000002,1858-09-01
0.562,8.113999999999999,1858-10-01
0.861,8.417,1858-11-01
0.7929999999999999,7.388,1858-12-01
0.888,8.033999999999999,1859-01-01
0.855,8.065000000000001,1859-02-01
0.6679999999999999,8.273,1859-03-01
0.482,8.752,1859-04-01
0.614,8.695,1859-05-01
0.616,8.408000000000001,1859-06-01
0.679,8.157,1859-07-01
0.431,7.945,1859-08-01
0.4370000000000001,7.5390000000000015,1859-09-01
0.575,8.269,1859-10-01
0.495,8.314,1859-11-01
1.103,8.126000000000001,1859-12-01
0.8759999999999999,7.876,1860-01-01
0.7909999999999999,7.9700000000000015,1860-02-01
0.65,6.5840000000000005,1860-03-01
0.528,8.016,1860-04-01
0.7959999999999999,8.279,1860-05-01
0.489,8.469000000000001,1860-06-01
0.5539999999999999,8.544,1860-07-01
0.623,8.606,1860-08-01
0.5429999999999999,8.424,1860-09-01
0.8009999999999999,8.056000000000001,1860-10-01
0.6659999999999999,7.482,1860-11-01
0.665,6.471,1860-12-01
1.023,6.388,1861-01-01
0.835,7.593999999999999,1861-02-01
0.894,7.718,1861-03-01
0.753,7.749,1861-04-01
0.487,7.7040000000000015,1861-05-01
0.56,8.148,1861-06-01
0.465,8.301,1861-07-01
0.463,8.504,1861-08-01
0.434,7.888999999999999,1861-09-01
0.486,7.61,1861-10-01
0.575,8.263,1861-11-01
1.051,7.754,1861-12-01
1.766,6.547999999999999,1862-01-01
0.807,7.0360000000000005,1862-02-01
0.816,7.559,1862-03-01
1.297,7.399000000000001,1862-04-01
0.574,8.096,1862-05-01
0.925,7.999,1862-06-01
0.4970000000000001,8.231,1862-07-01
0.431,7.8900000000000015,1862-08-01
0.541,7.551,1862-09-01
0.584,7.568,1862-10-01
0.784,7.142,1862-11-01
0.866,6.5,1862-12-01
0.983,9.02,1863-01-01
1.0590000000000002,8.767999999999999,1863-02-01
0.8,8.054,1863-03-01
0.601,8.389000000000001,1863-04-01
0.879,8.445,1863-05-01
0.4920000000000001,8.176,1863-06-01
0.51,8.109,1863-07-01
0.451,8.01,1863-08-01
0.55,7.592,1863-09-01
0.46,7.391,1863-10-01
0.608,7.866,1863-11-01
1.414,7.591,1863-12-01
0.994,7.3980000000000015,1864-01-01
1.17,7.965,1864-02-01
0.68,7.872999999999999,1864-03-01
0.805,7.785,1864-04-01
0.6859999999999999,8.347000000000001,1864-05-01
0.659,8.527999999999999,1864-06-01
0.682,8.495000000000001,1864-07-01
0.612,8.174,1864-08-01
0.411,7.915,1864-09-01
0.731,8.012,1864-10-01
0.8270000000000001,7.604,1864-11-01
0.601,7.1129999999999995,1864-12-01
0.884,8.861,1865-01-01
0.7879999999999999,7.502000000000002,1865-02-01
0.638,7.335000000000001,1865-03-01
0.696,7.6579999999999995,1865-04-01
0.458,8.193999999999999,1865-05-01
0.524,8.283,1865-06-01
0.47,8.541,1865-07-01
0.562,8.388,1865-08-01
0.493,8.316,1865-09-01
0.536,8.513,1865-10-01
0.775,8.664,1865-11-01
1.023,7.647,1865-12-01
1.122,8.942,1866-01-01
0.963,7.608,1866-02-01
0.87,7.652,1866-03-01
0.631,8.106,1866-04-01
0.664,8.142000000000001,1866-05-01
0.498,7.965,1866-06-01
0.464,8.907,1866-07-01
0.439,8.211,1866-08-01
0.672,8.101,1866-09-01
0.564,7.877000000000002,1866-10-01
0.555,8.459,1866-11-01
0.89,9.022,1866-12-01
0.963,8.388,1867-01-01
0.846,7.941000000000002,1867-02-01
0.8270000000000001,7.774000000000001,1867-03-01
0.503,8.465,1867-04-01
0.461,7.8130000000000015,1867-05-01
0.449,8.471,1867-06-01
0.456,8.581,1867-07-01
0.613,8.366,1867-08-01
0.428,8.323,1867-09-01
0.632,8.562000000000001,1867-10-01
0.67,9.421,1867-11-01
0.743,8.693,1867-12-01
0.847,7.795,1868-01-01
0.759,7.262,1868-02-01
0.584,7.825,1868-03-01
0.578,8.407,1868-04-01
0.604,8.447000000000001,1868-05-01
0.417,8.425,1868-06-01
0.485,8.872,1868-07-01
0.48,8.526,1868-08-01
0.426,8.013,1868-09-01
0.476,8.719000000000001,1868-10-01
0.426,7.6320000000000014,1868-11-01
0.7040000000000001,8.187999999999999,1868-12-01
0.971,8.211,1869-01-01
1.123,8.845,1869-02-01
0.664,7.593,1869-03-01
0.5760000000000001,8.206,1869-04-01
0.416,8.552999999999999,1869-05-01
0.755,8.577,1869-06-01
0.431,8.719000000000001,1869-07-01
0.5770000000000001,8.700000000000001,1869-08-01
0.42,8.827,1869-09-01
0.557,8.296000000000001,1869-10-01
0.465,8.252,1869-11-01
0.695,7.661,1869-12-01
0.72,7.907,1870-01-01
0.645,7.4060000000000015,1870-02-01
0.6920000000000001,7.7970000000000015,1870-03-01
0.488,8.127,1870-04-01
0.496,8.567,1870-05-01
0.5379999999999999,8.886000000000003,1870-06-01
0.491,8.871,1870-07-01
0.475,8.226,1870-08-01
0.368,8.502,1870-09-01
0.662,8.16,1870-10-01
0.521,8.093,1870-11-01
0.5579999999999999,7.144,1870-12-01
0.718,7.309,1871-01-01
1.047,7.021000000000001,1871-02-01
0.5720000000000001,7.992000000000001,1871-03-01
0.428,8.592,1871-04-01
0.501,8.073,1871-05-01
0.368,8.27,1871-06-01
0.402,8.561,1871-07-01
0.477,8.623000000000001,1871-08-01
0.443,8.086,1871-09-01
0.4270000000000001,8.399000000000001,1871-10-01
0.483,7.3690000000000015,1871-11-01
0.614,7.757999999999999,1871-12-01
1.046,7.556,1872-01-01
0.703,7.654,1872-02-01
0.812,8.066,1872-03-01
0.502,8.027999999999999,1872-04-01
0.431,8.378,1872-05-01
0.374,8.155000000000001,1872-06-01
0.458,8.533000000000001,1872-07-01
0.465,8.552999999999999,1872-08-01
0.402,8.372,1872-09-01
0.383,8.450000000000001,1872-10-01
0.4270000000000001,7.665,1872-11-01
0.754,7.335000000000001,1872-12-01
0.6829999999999999,7.846,1873-01-01
0.6579999999999999,8.451,1873-02-01
0.611,7.9140000000000015,1873-03-01
0.443,7.627000000000002,1873-04-01
0.5429999999999999,8.236,1873-05-01
0.35600000000000004,8.5,1873-06-01
0.441,8.519,1873-07-01
0.383,8.491,1873-08-01
0.487,7.972,1873-09-01
0.445,8.530000000000001,1873-10-01
0.48,8.215,1873-11-01
0.57,8.554,1873-12-01
0.831,8.536,1874-01-01
0.612,8.399000000000001,1874-02-01
0.495,7.3690000000000015,1874-03-01
0.4320000000000001,8.411,1874-04-01
0.401,8.521,1874-05-01
0.407,8.455,1874-06-01
0.378,8.404,1874-07-01
0.444,8.537,1874-08-01
0.421,8.593,1874-09-01
0.3720000000000001,8.464,1874-10-01
0.389,8.125,1874-11-01
0.49,8.258000000000001,1874-12-01
0.616,7.48,1875-01-01
0.6509999999999999,7.725,1875-02-01
0.457,7.541,1875-03-01
0.409,7.824000000000002,1875-04-01
0.376,8.041,1875-05-01
0.507,8.323,1875-06-01
0.368,8.44,1875-07-01
0.3720000000000001,8.075000000000001,1875-08-01
0.35100000000000003,7.817,1875-09-01
0.29,7.972,1875-10-01
0.58,7.091,1875-11-01
0.425,7.6739999999999995,1875-12-01
0.465,7.903,1876-01-01
0.4920000000000001,8.017000000000001,1876-02-01
0.379,8.067,1876-03-01
0.344,8.443999999999999,1876-04-01
0.399,7.961,1876-05-01
0.34700000000000003,8.294,1876-06-01
0.388,8.601,1876-07-01
0.378,8.207,1876-08-01
0.331,8.183,1876-09-01
0.281,8.287,1876-10-01
0.4270000000000001,7.6320000000000014,1876-11-01
0.402,7.122000000000001,1876-12-01
0.6940000000000001,8.189,1877-01-01
0.532,8.237,1877-02-01
0.395,8.575000000000001,1877-03-01
0.349,8.253,1877-04-01
0.476,8.389000000000001,1877-05-01
0.326,8.532,1877-06-01
0.376,8.919,1877-07-01
0.388,8.897,1877-08-01
0.35600000000000004,8.647,1877-09-01
0.355,8.622,1877-10-01
0.422,8.736,1877-11-01
0.49,7.8050000000000015,1877-12-01
0.5720000000000001,7.935,1878-01-01
0.505,9.074,1878-02-01
0.412,9.88,1878-03-01
0.348,9.124,1878-04-01
0.415,8.335,1878-05-01
0.312,8.932,1878-06-01
0.34700000000000003,9.11,1878-07-01
0.403,8.914,1878-08-01
0.391,8.684000000000001,1878-09-01
0.429,8.622,1878-10-01
0.462,8.887,1878-11-01
